                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74929,                 1.8488,                 1.1807,                0.82989,                 2.9311,                 1.1811,                0.79435,                0.69258,                0.79313,                0.66862,                0.56833,                 0.9493,                 1.0313,                0.68781,                 1.0896,                 1.0801,               0.003326,               0.003326,               0.003326
                      2,                0.62667,                0.99144,                 1.0716,                0.78175,                 1.1591,                  1.108,                0.72712,                0.55752,                0.65965,                0.53351,                0.70059,                 1.3161,                 1.1018,                0.85573,                 1.5471,                 1.1597,              0.0065934,              0.0065934,              0.0065934
                      3,                 0.7276,                 1.1378,                 1.1189,                0.92533,                  1.352,                  1.175,                0.66581,                0.57122,                0.63481,                0.48293,                0.76839,                 1.3133,                 1.1741,                 1.0006,                 1.8012,                 1.3136,              0.0097948,              0.0097948,              0.0097948
                      4,                0.78439,                 1.2023,                 1.1495,                 1.0141,                 1.4399,                 1.2204,                0.70802,                 0.6322,                0.70674,                0.54146,                0.77544,                 1.1479,                 1.1717,                0.96158,                  1.308,                 1.2686,               0.009703,               0.009703,               0.009703
                      5,                0.74395,                 1.1065,                 1.1233,                0.97022,                 1.3202,                 1.1899,                0.75249,                 0.7136,                0.79252,                0.63691,                0.65234,                0.84351,                 1.0593,                0.81828,                 1.0135,                 1.1457,               0.009703,               0.009703,               0.009703
                      6,                0.70145,                0.96694,                  1.096,                0.91911,                  1.141,                 1.1516,                0.81268,                0.74483,                0.83914,                0.69713,                0.57712,                 0.6917,                  1.013,                0.73803,                0.79353,                 1.0833,               0.009604,               0.009604,               0.009604
                      7,                0.66056,                 0.8881,                 1.0789,                0.86356,                 1.0482,                 1.1306,                0.84887,                 0.7698,                0.85913,                0.72542,                0.53906,                0.70851,                 1.0032,                0.70448,                0.80529,                 1.0845,               0.009505,               0.009505,               0.009505
                      8,                0.63638,                0.82938,                 1.0638,                0.83755,                0.97256,                 1.1161,                0.83513,                 0.7917,                0.87065,                0.72364,                0.58353,                0.64564,                 1.0259,                0.71941,                0.77367,                  1.075,               0.009406,               0.009406,               0.009406
                      9,                0.61992,                0.78893,                 1.0546,                0.80957,                0.91576,                 1.1025,                0.88419,                0.81794,                0.91493,                0.78524,                0.51239,                0.54126,                0.97589,                0.65102,                0.57494,                 1.0418,               0.009307,               0.009307,               0.009307
                     10,                0.60359,                0.74829,                 1.0482,                 0.7927,                0.87271,                 1.0954,                0.85764,                 0.8531,                0.91264,                0.79121,                0.49401,                0.52291,                  0.958,                0.61521,                0.59039,                 1.0085,               0.009208,               0.009208,               0.009208
